fps,value_loss,explained_variance,total_timesteps,nupdates,policy_entropy
143,0.0016263832803815603,0.9498967975378036,656000,8200,1.3512264490127563
143,0.005956263281404972,0.9440984465181828,664000,8300,1.3542863130569458
143,0.017821570858359337,0.77230404317379,672000,8400,1.3486512899398804
143,0.003983411006629467,0.9507172405719757,680000,8500,1.352688193321228
143,0.009062642231583595,0.8723827451467514,688000,8600,1.3546512126922607
143,0.01939212717115879,0.7681693881750107,696000,8700,1.361879825592041
143,0.01533315796405077,0.8447549939155579,704000,8800,1.3701121807098389
143,0.007328213658183813,0.9392442367970943,712000,8900,1.3577501773834229
143,0.004801358561962843,0.963851448148489,720000,9000,1.3583816289901733
143,0.0038957037031650543,0.944948323071003,728000,9100,1.3552325963974
143,0.002708029467612505,0.9813139978796244,736000,9200,1.356515645980835
143,0.001952353515662253,0.9784436784684658,744000,9300,1.3484532833099365
143,0.002883604960516095,0.9541888646781445,752000,9400,1.3639757633209229
143,0.005423693917691708,0.9549868777394295,760000,9500,1.3592685461044312
143,0.008506691083312035,0.9370570480823517,768000,9600,1.358529806137085
143,0.01779276132583618,0.8272993117570877,776000,9700,1.3601213693618774
143,0.0048833731561899185,0.9611841551959515,784000,9800,1.3626768589019775
143,0.004592571407556534,0.9648803621530533,792000,9900,1.3574227094650269
143,0.0050807553343474865,0.9614644534885883,800000,10000,1.3529945611953735
143,0.00567313376814127,0.9465600736439228,808000,10100,1.3588825464248657
143,0.012361260131001472,0.8271202892065048,816000,10200,1.356733798980713
143,0.004765252582728863,0.9656955264508724,824000,10300,1.3600813150405884
143,0.0007455887389369309,0.9948333208449185,832000,10400,1.3562666177749634
143,0.010787023231387138,0.8717588484287262,840000,10500,1.3536794185638428
143,0.0015273685567080975,0.9757071360945702,848000,10600,1.3576288223266602
143,0.003830264788120985,0.9627926684916019,856000,10700,1.3608121871948242
143,0.006967083550989628,0.926500529050827,864000,10800,1.3615649938583374
143,0.007936658337712288,0.9405827485024929,872000,10900,1.3473055362701416
143,0.006962898187339306,0.9447093419730663,880000,11000,1.3532702922821045
143,0.005210786126554012,0.9582962989807129,888000,11100,1.347290277481079
143,0.0015450638020411134,0.9905383372679353,896000,11200,1.35394287109375
143,0.001895396737381816,0.9843008667230606,904000,11300,1.3546650409698486
143,0.002677762880921364,0.9798025842756033,912000,11400,1.3486911058425903
143,0.0013821455650031567,0.9883535355329514,920000,11500,1.3588374853134155
143,0.001980385510250926,0.9774938933551311,928000,11600,1.355568289756775
143,0.001132963807322085,0.9922336237505078,936000,11700,1.3578405380249023
143,0.0019522998481988907,0.983908886089921,944000,11800,1.3579769134521484
143,0.003838519798591733,0.9719382841140032,952000,11900,1.3558833599090576
143,0.0016366575146093965,0.9822786021977663,960000,12000,1.3706601858139038
143,0.002476425375789404,0.9788840245455503,968000,12100,1.366798996925354
143,0.013098436407744884,0.9282337576150894,976000,12200,1.3442413806915283
143,0.005516081117093563,0.9601679295301437,984000,12300,1.3558708429336548
143,0.004188152961432934,0.9718182384967804,992000,12400,1.3437045812606812
143,0.0017996348906308413,0.9785754680633545,1000000,12500,1.3570032119750977
143,0.004930860362946987,0.9615495875477791,1008000,12600,1.3418989181518555
143,0.0029792585410177708,0.9728816319257021,1016000,12700,1.362125039100647
143,0.0005545273306779563,0.9903894439339638,1024000,12800,1.3684002161026
143,0.004244079347699881,0.9723590034991503,1032000,12900,1.3653804063796997
143,0.0009512996184639633,0.9939247039146721,1040000,13000,1.3455089330673218
143,0.006229969207197428,0.9503353647887707,1048000,13100,1.3415297269821167
143,0.002600142266601324,0.9623289555311203,1056000,13200,1.361005187034607
143,0.013937505893409252,0.8784674555063248,1064000,13300,1.3515301942825317
143,0.001385760959237814,0.9809737987816334,1072000,13400,1.375657320022583
143,0.001803001039661467,0.9829438384622335,1080000,13500,1.3741724491119385
143,0.009304611012339592,0.8535647839307785,1088000,13600,1.373575210571289
143,0.0019353082170709968,0.9773242771625519,1096000,13700,1.36533522605896
143,0.0030354936607182026,0.9840468261390924,1104000,13800,1.3412526845932007
143,0.004628715105354786,0.970385828986764,1112000,13900,1.3330639600753784
143,0.0037013269029557705,0.962172694504261,1120000,14000,1.3309805393218994
143,0.0010456657037138939,0.9870136268436909,1128000,14100,1.3620694875717163
143,0.0007524651591666043,0.9937714692205191,1136000,14200,1.3497498035430908
143,0.0009665730176493526,0.9774577785283327,1144000,14300,1.3661121129989624
143,0.002045911271125078,0.9813664797693491,1152000,14400,1.3576850891113281
143,0.0002682697959244251,0.9964595716446638,1160000,14500,1.3577280044555664
143,0.001073066028766334,0.9942412814125419,1168000,14600,1.3407951593399048
143,0.005175364203751087,0.9498069584369659,1176000,14700,1.3513643741607666
143,0.0008680293103680015,0.9933114033192396,1184000,14800,1.3475759029388428
143,0.003545980202034116,0.9485101103782654,1192000,14900,1.349437952041626
143,0.0005664192140102386,0.9950303654186428,1200000,15000,1.3550968170166016
143,0.0176316499710083,0.7841758131980896,1208000,15100,1.3584108352661133
143,0.002007891424000263,0.9791356772184372,1216000,15200,1.3637568950653076
143,0.03189590573310852,0.6780397295951843,1224000,15300,1.3587466478347778
143,0.0010613020276650786,0.9889749241992831,1232000,15400,1.3583855628967285
143,0.0007532445015385747,0.9921612162142992,1240000,15500,1.3760192394256592
143,0.026353169232606888,0.6476077139377594,1248000,15600,1.3744438886642456
143,0.01069357804954052,0.9410508051514626,1256000,15700,1.3483397960662842
143,0.000668217078782618,0.9904006840661168,1264000,15800,1.3722294569015503
143,0.005253143608570099,0.9566887132823467,1272000,15900,1.3719772100448608
143,0.007516868412494659,0.9383157640695572,1280000,16000,1.3519985675811768
143,0.0036055755335837603,0.9403956718742847,1288000,16100,1.3574165105819702
143,0.0016293663065880537,0.9847710067406297,1296000,16200,1.3651338815689087
143,0.0006361802807077765,0.9915405521169305,1304000,16300,1.371516227722168
143,0.003010175423696637,0.9681464396417141,1312000,16400,1.3422138690948486
143,0.0033225403167307377,0.9602288939058781,1320000,16500,1.3554801940917969
143,0.0016475484007969499,0.9898792058229446,1328000,16600,1.3473074436187744
143,0.0010878650937229395,0.9888148382306099,1336000,16700,1.378170371055603
143,0.02324027009308338,0.8137400895357132,1344000,16800,1.3525923490524292
143,0.004166578408330679,0.9496371671557426,1352000,16900,1.3614933490753174
143,0.014738736674189568,0.8461296111345291,1360000,17000,1.372745394706726
143,0.013097572140395641,0.8876040950417519,1368000,17100,1.3721023797988892
143,0.001062225317582488,0.9807542730122805,1376000,17200,1.3643426895141602
143,0.00411497475579381,0.9264446422457695,1384000,17300,1.3550059795379639
143,0.004291807767003775,0.9723481461405754,1392000,17400,1.3745946884155273
143,0.004246801137924194,0.9304082840681076,1400000,17500,1.3681252002716064
143,0.0033589061349630356,0.9340889528393745,1408000,17600,1.3743771314620972
143,0.006891472730785608,0.9287337213754654,1416000,17700,1.3730909824371338
